COD_TIPO_NDG,ID_CUSTOMER,IMP_GBV,PRED_PROB_RECOVERY_12M_AHEAD,PRED_RECOVERY_RATE_12M_AHEAD,PRED_INCASSI_12M_AHEAD,PRED_RECOVERY_CLASS
F,27321,3787.99,0.9534338642051674,0.20446504906523294,774.5115612086116,A
F,26020,1718.81,0.9393114602866295,0.20383001351965285,350.3450655377145,A
G,15242,2317.98,0.8379844176516764,0.2034009442458632,471.47932074302594,A
C,12192,2043.6,0.9217390525207857,0.2028663545368002,414.57768213140486,A
G,15489,504.25,0.791537223248296,0.20279500205085266,102.25937978414245,A
G,20728,2782.79,0.8500352276653126,0.20122453767052256,559.9656311841535,A
C,21048,2731.07,0.7651690711828131,0.2003950212965448,547.2928308123546,A
C,15924,3599.49,0.8889395447275112,0.2001629984485451,720.4847112855535,A
C,25778,862.77,0.992414163937943,0.19993220312943322,172.4955068939811,A
F,17190,2216.32,0.9359554314719041,0.19986039298934682,442.9545861901492,A
G,20495,3295.26,0.8696858361211837,0.19979796093365565,658.3862287462382,A
G,6395,3439.03,0.854899149304421,0.19942726379387476,685.8363430050492,A
F,12165,1793.06,0.7976738114273881,0.19810858395931963,355.22057755409764,A
F,4433,2387.97,0.9090453451842587,0.19796569042231682,472.73612975777985,A
F,8896,1226.13,0.9118191774200297,0.19657466095635784,241.02608903841906,A
F,21231,1461.29,0.855455644092902,0.19616458867269518,286.6533517815227,A
G,23424,3831.6,0.8386098085751887,0.19579902554962048,750.2235462959258,A
G,6928,2638.94,0.8356633367843975,0.19571783551675762,516.4876248585923,A
G,20961,4558.6,0.9469379483876382,0.19545458002127114,890.9992484849666,A
F,24519,1797.3,0.7650180123311053,0.19482064703210955,350.1511489108105,A
G,27258,4606.09,0.9014633265001222,0.19347297767016466,891.1539477167688,A
C,25889,2157.58,0.7564310204414141,0.19304410050017745,416.5080903571729,A
F,20060,2120.23,0.851017865270478,0.1924158268212123,407.96580850113895,A
F,5693,3550.17,0.8233944817018863,0.19128924395451172,679.1093352099889,A
F,7743,3065.61,0.9185399963802506,0.19059788830795166,584.2987923757397,A
G,7205,2337.98,0.9463753759521575,0.19058503555719541,445.58400143201175,A
C,6045,1628.28,0.8102191673065793,0.19037175797739397,309.97852607943105,A
